Country,Continent,PWT Code,WDI Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap09,fdi09,imports75,imports09,trade75,trade09,openfrac,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,intuser09,tele09,cells09,comp05,gini09,topincsh09,botincsh09,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,obedience,perseverance,faith,trust,latitude,area
Canada,4,CAN,CAN,23200000,33500000,1.08,23200000,3.09E+12,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,18.71,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000,23200000
Cape Verde,3,CPV,CPV,280259,501000,1.71,280259,7531501556,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,6.66,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259,280259
Central African Republic,3,CAF,CAF,2057734,4742000,2.46,2057734,3303762144,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,-1.23,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734,2057734
Chad,3,TCD,TCD,4144061,10300000,2.68,4144061,19045784045,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,36.59,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061,4144061
Chile,4,CHL,CHL,10300000,16600000,1.4,10300000,4.95E+11,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,24.98,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000
China,2,CHN,CHN,918000000,1320000000,1.07,918000000,2.64E+13,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,49.85,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000,918000000
Colombia,4,COL,COL,24100000,43700000,1.75,24100000,7.68E+11,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,18.95,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000,24100000
Comoros,3,COM,COM,272685,752000,2.98,272685,1822564212,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,-17.5,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685,272685
"Congo, Dem. Rep.",3,ZAR,COD,25000000,69000000,2.99,25000000,41005181729,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,0.05,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000,25000000
"Congo, Republic of",3,COG,COG,1453650,4013000,2.99,1453650,17934922014,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,51.39,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650,1453650
Costa Rica,4,CRI,CRI,1991580,4455000,2.37,1991580,1.1E+11,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,19.42,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580,1991580
Cote d`Ivoire,3,CIV,CIV,7030905,20600000,3.16,7030905,26019286311,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,22.11,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905,7030905
Croatia,1,HRV,HRV,4255000,4489000,0.16,4255000,1.92E+11,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,22.55,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000,4255000
Cuba,4,CUB,CUB,9290074,11100000,0.52,9290074,55859397735,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,13.82,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074,9290074
Cyprus,1,CYP,CYP,610500,1085000,1.69,610500,52198856041,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,10.67,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500,610500
Czech Republic,1,CZE,CZE,10000000,10200000,0.06,10000000,6.05E+11,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,28.49,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
Denmark,1,DNK,DNK,5059861,5501000,0.25,5059861,5.66E+11,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,22.6,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861,5059861
Djibouti,3,DJI,DJI,207959,819501,4.03,207959,5461444049,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,-1.29,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959,207959
Dominica,4,DMA,DMA,73923,72420,-0.06,73923,1363798079,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,16.02,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923,73923
Dominican Republic,4,DOM,DOM,5048499,9691000,1.92,5048499,1.64E+11,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,7.49,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499,5048499
Ecuador,4,ECU,ECU,6871698,14600000,2.22,6871698,2.73E+11,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,20.99,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698,6871698
Egypt,3,EGY,EGY,37000000,78900000,2.23,37000000,6.14E+11,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,17.59,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000
El Salvador,4,SLV,SLV,4071179,6031000,1.16,4071179,67758637350,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,-2.02,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179,4071179
Equatorial Guinea,3,GNQ,GNQ,213292,633000,3.2,213292,22080329853,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,86.07,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292,213292
Eritrea,3,ERI,ERI,2421037,5647000,2.49,2421037,7055763129,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,-14.88,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037,2421037
Estonia,1,EST,EST,1432246,1299000,-0.29,1432246,66168290703,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,25.75,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246,1432246
Ethiopia,3,ETH,ETH,33000000,85200000,2.79,33000000,97933005197,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,-5.82,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000,33000000
Fiji,5,FJI,FJI,576000,868000,1.21,576000,10607036559,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,-4.41,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000,576000
Finland,1,FIN,FIN,4711439,5250000,0.32,4711439,4.92E+11,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,22.79,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439,4711439
France,1,FRA,FRA,54000000,64400000,0.52,54000000,5.21E+12,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,16.07,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000,54000000
Gabon,3,GAB,GAB,647436,1515000,2.5,647436,57843385846,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,53.98,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436,647436
"Gambia, The",3,GMB,GMB,570020,1713000,3.24,570020,4224779334,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,10.66,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020,570020
Georgia,2,GEO,GEO,4897656,4616000,-0.17,4897656,39395071647,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,-7.39,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656,4897656
Germany,1,GER,DEU,78700000,81800000,0.11,78700000,7.4E+12,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,21.3,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000,78700000
Ghana,3,GHA,GHA,10100000,23900000,2.53,10100000,82361937124,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,-7.61,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000,10100000
Greece,1,GRC,GRC,9046542,10700000,0.49,9046542,8.05E+11,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,6.8,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542,9046542
Grenada,4,GRD,GRD,95819,107000,0.32,95819,7813135146,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,3.68,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819,95819
